label,ad_p50_ms,ad_p95_ms,ad_p99_ms,ad_error_rate,ad_throughput_rps,ad_cpu_avg,ad_cpu_max,ad_mem_avg_mb,ad_mem_max_mb,cart_p50_ms,cart_p95_ms,cart_p99_ms,cart_error_rate,cart_throughput_rps,cart_cpu_avg,cart_cpu_max,cart_mem_avg_mb,cart_mem_max_mb,checkout_p50_ms,checkout_p95_ms,checkout_p99_ms,checkout_error_rate,checkout_throughput_rps,checkout_cpu_avg,checkout_cpu_max,checkout_mem_avg_mb,checkout_mem_max_mb,currency_p50_ms,currency_p95_ms,currency_p99_ms,currency_error_rate,currency_throughput_rps,currency_cpu_avg,currency_cpu_max,currency_mem_avg_mb,currency_mem_max_mb,email_p50_ms,email_p95_ms,email_p99_ms,email_error_rate,email_throughput_rps,email_cpu_avg,email_cpu_max,email_mem_avg_mb,email_mem_max_mb,frontend_p50_ms,frontend_p95_ms,frontend_p99_ms,frontend_error_rate,frontend_throughput_rps,frontend_cpu_avg,frontend_cpu_max,frontend_mem_avg_mb,frontend_mem_max_mb,frontend_proxy_p50_ms,frontend_proxy_p95_ms,frontend_proxy_p99_ms,frontend_proxy_error_rate,frontend_proxy_throughput_rps,frontend_proxy_cpu_avg,frontend_proxy_cpu_max,frontend_proxy_mem_avg_mb,frontend_proxy_mem_max_mb,image_provider_p50_ms,image_provider_p95_ms,image_provider_p99_ms,image_provider_error_rate,image_provider_throughput_rps,image_provider_cpu_avg,image_provider_cpu_max,image_provider_mem_avg_mb,image_provider_mem_max_mb,payment_p50_ms,payment_p95_ms,payment_p99_ms,payment_error_rate,payment_throughput_rps,payment_cpu_avg,payment_cpu_max,payment_mem_avg_mb,payment_mem_max_mb,product_catalog_p50_ms,product_catalog_p95_ms,product_catalog_p99_ms,product_catalog_error_rate,product_catalog_throughput_rps,product_catalog_cpu_avg,product_catalog_cpu_max,product_catalog_mem_avg_mb,product_catalog_mem_max_mb,quote_p50_ms,quote_p95_ms,quote_p99_ms,quote_error_rate,quote_throughput_rps,quote_cpu_avg,quote_cpu_max,quote_mem_avg_mb,quote_mem_max_mb,recommendation_p50_ms,recommendation_p95_ms,recommendation_p99_ms,recommendation_error_rate,recommendation_throughput_rps,recommendation_cpu_avg,recommendation_cpu_max,recommendation_mem_avg_mb,recommendation_mem_max_mb,shipping_p50_ms,shipping_p95_ms,shipping_p99_ms,shipping_error_rate,shipping_throughput_rps,shipping_cpu_avg,shipping_cpu_max,shipping_mem_avg_mb,shipping_mem_max_mb,flagd_p50_ms,flagd_p95_ms,flagd_p99_ms,flagd_error_rate,flagd_throughput_rps,flagd_cpu_avg,flagd_cpu_max,flagd_mem_avg_mb,flagd_mem_max_mb,flagd_ui_p50_ms,flagd_ui_p95_ms,flagd_ui_p99_ms,flagd_ui_error_rate,flagd_ui_throughput_rps,flagd_ui_cpu_avg,flagd_ui_cpu_max,flagd_ui_mem_avg_mb,flagd_ui_mem_max_mb,kafka_p50_ms,kafka_p95_ms,kafka_p99_ms,kafka_error_rate,kafka_throughput_rps,kafka_cpu_avg,kafka_cpu_max,kafka_mem_avg_mb,kafka_mem_max_mb,accounting_p50_ms,accounting_p95_ms,accounting_p99_ms,accounting_error_rate,accounting_throughput_rps,accounting_cpu_avg,accounting_cpu_max,accounting_mem_avg_mb,accounting_mem_max_mb,fraud_detection_p50_ms,fraud_detection_p95_ms,fraud_detection_p99_ms,fraud_detection_error_rate,fraud_detection_throughput_rps,fraud_detection_cpu_avg,fraud_detection_cpu_max,fraud_detection_mem_avg_mb,fraud_detection_mem_max_mb,window_start,window_end
baseline,29.2245035,131.46111174999996,153.37211275,0.0,0.1999971550404695,0.0,0.0,0.0,0.0,1.853,32.36915499999998,43.626446000000016,0.0,0.8499879089219956,0.0,0.0,69.85546875,69.85546875,1219.4486455,1220.29306915,1220.36812903,0.0,0.0499992887601173,0.0,0.0,7.397586822509766,13.795173645019531,2.242968,4.776118199999999,5.791018039999999,0.0,0.2249967994205282,0.0,0.0,0.0,0.0,19.997859,21.2261655,21.3353483,0.0,0.0499992887601173,0.0,0.0,0.0,0.0,13.55361,202.2401249999998,1408.030471520016,0.0268456375838926,3.7249470126287454,0.0,0.0,0.0,0.0,15.827,316.9047,2621.3273400000007,0.0205128205128205,4.874930654111445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0999843527225823,0.0,0.0,0.0,0.0,3.9230765,6.89264765,7.15660953,0.0,0.0499992887601173,0.0,0.0,74.6171875,74.6171875,4.861177,44.8134343,62.84931414000002,0.0,1.874973328504402,0.0,0.0,7.366336822509766,13.263923645019531,0.582152,3.1947278,3.42695676,0.0,0.074998933140176,0.0,0.0,0.0,0.0,7.080142,18.6635844,20.11920968,0.0,0.2249967994205282,0.0,0.0,0.0,0.0,11.460592,42.7300012,47.80664904,0.0,0.1249982219002934,0.0,0.0,0.0,0.0,0.363366,33.12280969999999,4310.675627240008,0.0,1.5749775959436978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077534879587665,0.0077534879587665,40.77545738220215,204.0340270996093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.84765625,106.84765625,50.278264,90.6713017,94.26179394,0.0,0.0499992887601173,0.0236008541685203,0.0236008541685203,19.58968734741211,69.92208862304688,2026-09-15T05:45:23.017824+00:00,2026-09-15T05:46:03.018393+00:00
baseline,155.0032385,374.4884150999999,399.19712382,0.0,0.099999577501785,0.0,0.0,0.0,0.0,1.9888,25.80785999999992,53.985492000000015,0.0,0.474997993133479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.202137,13.5543391,14.65231262,0.0,0.0749996831263388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.579751,108.03358889999984,223.6555535000013,0.0256410256410256,1.9499917612848088,0.0,0.0,0.0,0.0,17.082,284.0557999999999,4063.634640000026,0.0215827338129496,3.4749853181870307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249969368879416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.806792,39.977790599999935,54.419545,0.0,0.9249960918915118,0.0,0.0,0.0,0.0,0.3142,0.3142,0.3142,0.0,0.0249998943754462,0.0,0.0,0.0,0.0,12.858376,15.3791636,15.80696952,0.0,0.1249994718772313,0.005,0.005,51.1015625,51.1015625,123.761644,123.761644,123.761644,0.0,0.0249998943754462,0.0,0.0,0.0,0.0,0.2918795,975.5075338999912,5200.89897717999,0.0,0.4499980987580327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-15T05:46:11.499453+00:00,2026-09-15T05:46:51.499622+00:00
baseline,57.639053,237.33517139999992,260.92906307999993,0.0,0.0999994100034809,0.0,0.0,0.0,0.0,4.54505,2975.915875,10042.902534999996,0.0,0.3999976400139239,0.0,0.0,74.37890625,74.37890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21811,29.74979395,32.09954119,0.0,0.0999994100034809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.106984,106.28561379999988,226.0354516800012,0.0402684563758389,3.724978022629666,0.0,0.0,0.0,0.0,19.231,179.35239999999996,2526.153040000016,0.0390243902439024,5.1249697626784,0.0,0.0,0.0,0.0,0.0,0.0,0.509999999999998,0.0,1.2499926250435125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61328125,74.61328125,3.25739,52.4989672,82.68389767999992,0.0,1.224992772542642,0.0,0.0,7.428836822509766,13.420173645019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.381556,27.319480599999995,31.72029052,0.0,0.2249986725078322,0.0,0.0,0.0,0.0,7.928338,7.928338,7.928338,0.0,0.0249998525008702,0.0,0.0,0.0,0.0,0.721511,430.23642850000346,8610.993845139976,0.0,0.9749942475339396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012329525439082,0.012329525439082,40.961063385009766,206.3255844116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.046875,110.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-15T05:47:17.398229+00:00,2026-09-15T05:47:57.398465+00:00
baseline,28.7166295,114.58180659999988,154.85387332000002,0.0,0.2499992625021756,0.0,0.0,0.0,0.0,3.61905,20.170135000000013,104.67794600000003,0.0,1.0999967550095726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935866,16.58414459999999,23.49733372,0.0,0.224999336251958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.615626,154.09197974999995,304.22361417,0.0588235294117647,5.099984955044382,0.0,0.0,0.0,0.0,14.932,175.99799999999982,2860.5208999999672,0.0452961672473867,7.17497883381244,0.0,0.0,0.0,0.0,0.0,0.0,5.6999999999999735,0.0,1.599995280013924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.448295,89.71704210000001,112.40953086000005,0.0,2.174993583768928,0.0,0.0,0.0,0.0,0.606432,0.684417,0.691349,0.0,0.0749997787506526,0.0,0.0,0.0,0.0,8.108055,68.7792245,84.51017450000002,0.0,0.2749991887523931,0.002625,0.002625,51.16796875,51.16796875,100.401856,147.3611335,151.5352915,0.0,0.0749997787506526,0.0,0.0,0.0,0.0,0.390091,6.661231,5199.500557199999,0.0,1.5249955012632712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-15T05:48:04.775230+00:00,2026-09-15T05:48:44.775348+00:00
baseline,80.864641,209.986292,233.5839464,0.0,0.174999615000847,0.0214781920506507,0.0214781920506507,16.688156127929688,61.18242645263672,1.6785,18.933945,47.33703899999997,0.0,0.549998790002662,0.0,0.0,74.3515625,74.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47533,5.908812799999999,6.47093056,0.0,0.124999725000605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.725901,109.1447235,205.2964265,0.0529801324503311,3.774991695018271,0.0,0.0,0.0,0.0,11.862,139.64659999999998,5888.002839999998,0.0441176470588235,5.099988780024685,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999999999983,0.0,1.074997635005203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489375,0.0955,74.61328125,74.61328125,3.32959,53.64981269999999,95.55307059999988,0.0,1.074997635005203,0.0,0.0,0.0,0.0,0.7941815,0.95517485,0.96948537,0.0,0.049999890000242,0.0,0.0,0.0,0.0,8.198903,30.866863599999995,33.92452792,0.0,0.124999725000605,0.0,0.0,0.0,0.0,27.122947,40.7868739,42.00144518,0.0,0.049999890000242,0.0,0.0,0.0,0.0,0.402091,61.30078124999982,4559.983586939988,0.0,1.049997690005082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123063495526947,0.0123063495526947,21.11323070526123,69.94612884521484,2026-09-15T05:48:52.037871+00:00,2026-09-15T05:49:32.037959+00:00
baseline,41.612731,328.68482175,396.1125995500001,0.0,0.1499986987612882,0.0084346198497879,0.0084346198497879,16.99482822418213,61.186073303222656,1.9553,20.194919999999986,32.281919999999985,0.0,0.7249937106795599,0.0,0.0,73.71484375,73.71484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.608095,26.3653778,27.37442756,0.0,0.2499978312688137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.547129,90.85294399999988,501.2172366399965,0.0457142857142857,4.3749620472042405,0.0,0.0,0.0,0.0,15.702,130.855,2087.4283999999807,0.0389610389610389,5.774949902309598,0.0,0.0,0.0,0.0,0.0,0.0,3.799999999999997,0.0,1.6249859032472893,0.0,0.0,0.0,0.0,237.600852,237.600852,237.600852,0.0,0.0249997831268813,0.0409375,0.046125,75.11328125,75.11328125,5.638434,54.18649069999989,4823.28025458,0.0,2.4749785295612563,0.0,0.0,7.213993072509766,12.990486145019531,0.6680135,0.7921914499999999,0.80322949,0.0,0.0499995662537627,0.0,0.0,0.0,0.0,11.080963,24.90394655,36.65025410999999,0.0,0.3499969637763392,0.0,0.0,0.0,0.0,24.249645,42.6075372,44.23934984,0.0,0.0499995662537627,0.0,0.0,0.0,0.0,0.302879,8.697549349999996,3545.581587690001,0.0,1.5499865538666453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075632464517364,0.0075632464517364,40.12903499603272,209.71749877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.8671875,109.8671875,0.0,0.0,0.0,0.0,0.0,0.0186967084266184,0.0186967084266184,21.61724281311035,69.95942687988281,2026-09-15T05:49:39.213669+00:00,2026-09-15T05:50:19.214016+00:00
baseline,154.623863,154.623863,154.623863,0.0,0.0249999075003422,0.0115965663291884,0.0115965663291884,17.312283515930176,61.19467926025391,2.0626,18.945039999999985,2548.25791400001,0.0,0.9499964850130054,0.0,0.0,73.5546875,73.5546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1296075,5.3205937,5.397781139999999,0.0,0.2999988900041069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9072,124.40639599999987,194.2966256400003,0.0131578947368421,3.7999859400520215,0.0,0.0,0.0,0.0,16.851,136.56514999999996,681.9012199999712,0.0108695652173913,4.599982980062974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9249965775126632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355625,0.04,75.63671875,75.63671875,4.347258,47.306602299999845,112.63280707999978,0.0,2.0749923225284066,0.0,0.0,7.503055572509766,13.568611145019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.280808,25.4936075,25.8293663,0.0,0.2749989825037647,0.025,0.025,51.125,51.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796345,11.207541199999978,2726.1555041200004,0.0,1.2999951900177968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083437535523473,0.0083437535523473,39.01212692260742,209.71749877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.1171875,109.1171875,0.0,0.0,0.0,0.0,0.0,0.0171050544869616,0.0171050544869616,18.12384986877441,69.96705627441406,2026-09-15T05:50:26.726839+00:00,2026-09-15T05:51:06.726987+00:00
baseline,9.7137825,30.0582377,30.06714674,0.0,0.1999994450015401,0.0,0.0,0.0,0.0,2.64785,15.462254999999994,24.304318,0.0,0.6999980575053905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.945983,12.871865599999976,20.496751519999982,0.0,0.3249990981275027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.376824,79.11834425,118.27094880000008,0.0547945205479452,3.649989871278108,0.0,0.0,0.0,0.0,13.5075,89.14384999999999,6858.811620000037,0.0495049504950495,5.049985986288888,0.0,0.0,0.0,0.0,0.0,0.0,2.3499999999999943,0.0,1.349996253760396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8379795,40.17601629999998,71.52671720999994,0.0,1.8499948662642465,0.0,0.0,7.503055572509766,13.568611145019531,0.7126455,1.03682865,1.0656449300000002,0.0,0.049999861250385,0.0,0.0,0.0,0.0,10.95146,18.1779223,18.606029260000003,0.0,0.2499993062519251,0.002625,0.002625,51.125,51.125,16.890809,18.8187215,18.9900915,0.0,0.049999861250385,0.0,0.0,0.0,0.0,0.299178,28.20399479999996,5003.869153619997,0.0,1.1749967393840484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044218872527664,0.0044218872527664,39.892788887023926,209.71749877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.046875,109.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-15T05:51:13.935609+00:00,2026-09-15T05:51:53.935720+00:00
baseline,115.283673,261.008139,272.4949134,0.0,0.0999994075035105,0.0133212964593975,0.0133212964593975,17.694905281066895,61.21370697021485,1.20095,11.932874999999996,26.609327999999984,0.0,0.549996741269308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.709553,9.485055999999998,10.8015632,0.0,0.2249986668828987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.609996,171.92012,13535.133339600085,0.036036036036036,2.774983558222418,0.0,0.0,0.0,0.0,13.914,285.5018,5789.6580599999725,0.045662100456621,5.474967560817202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824995111903962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4866315,66.3835177,174.75125660999996,0.0,1.3499920012973925,0.0,0.0,0.0,0.0,0.380818,0.380818,0.380818,0.0,0.0249998518758776,0.0,0.0,0.0,0.0,9.345323,20.097101599999995,21.43065872,0.0,0.1749989631311434,0.002,0.002,51.125,51.125,48.585769,48.585769,48.585769,0.0,0.0249998518758776,0.0,0.0,0.0,0.0,0.327357,11.054252399999978,4738.795008440009,0.0,1.1249933344144936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-15T05:52:01.178907+00:00,2026-09-15T05:52:41.179144+00:00
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.26171875,74.26171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083839285714285,0.0094285714285714,75.63671875,75.63671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101699637782112,0.0101699637782112,18.752605438232425,69.97422790527344,2026-09-15T05:52:48.408239+00:00,2026-09-15T05:53:28.408575+00:00
