,importance
frontend_p50_ms,0.03281715480483988
frontend_proxy_p50_ms,0.027113932668377222
ad_p50_ms,0.02541380181507645
frontend_throughput_rps,0.024757675524794496
recommendation_p50_ms,0.02352681189093805
frontend_proxy_p95_ms,0.023484934515278964
ad_p95_ms,0.02329849190650171
frontend_proxy_throughput_rps,0.021763641263931415
ad_p99_ms,0.02162475832531616
cart_cpu_avg,0.020610312417995172
recommendation_p99_ms,0.020475569017733307
ad_mem_avg_mb,0.020429375507785303
product_catalog_p50_ms,0.019573794482142862
frontend_p95_ms,0.01844065869970476
recommendation_mem_avg_mb,0.018000554193112073
flagd_p50_ms,0.017337214128524358
product_catalog_throughput_rps,0.01726466601979342
cart_p95_ms,0.017031492814587178
recommendation_p95_ms,0.016832882550292052
recommendation_throughput_rps,0.01663615136971921
cart_mem_avg_mb,0.016218485274548028
image_provider_throughput_rps,0.015686979204729178
frontend_proxy_error_rate,0.015676987078109002
flagd_p99_ms,0.015597252053924399
cart_mem_max_mb,0.015224015953613168
product_catalog_p95_ms,0.015020123021795262
flagd_p95_ms,0.014997483442274764
cart_p50_ms,0.014960728518663074
recommendation_mem_max_mb,0.014735396962429021
ad_cpu_max,0.01471826895332022
currency_p95_ms,0.014684416426062738
payment_mem_max_mb,0.014285929573728656
currency_p99_ms,0.01343459286790219
frontend_proxy_p99_ms,0.012890056932261853
payment_mem_avg_mb,0.012813095331367076
ad_cpu_avg,0.012502191079422001
cart_p99_ms,0.012005792456895167
shipping_p99_ms,0.011613656924325493
frontend_error_rate,0.011211057932882438
kafka_mem_max_mb,0.01116959981571127
kafka_mem_avg_mb,0.011057517132678656
frontend_p99_ms,0.011015578223767836
currency_p50_ms,0.01082171850710721
cart_throughput_rps,0.01078801450726466
image_provider_p99_ms,0.010645040296752126
flagd_throughput_rps,0.010318067285160699
currency_throughput_rps,0.010160080361261674
product_catalog_p99_ms,0.009981148360244683
shipping_p95_ms,0.009959003606482027
ad_mem_max_mb,0.009922707184567479
accounting_mem_avg_mb,0.00984722188772563
shipping_throughput_rps,0.009844734146984307
ad_throughput_rps,0.009737186743999293
shipping_p50_ms,0.009676428705647782
accounting_cpu_avg,0.009650709013626007
accounting_mem_max_mb,0.009204596181398345
fraud_detection_mem_max_mb,0.009004868543408803
recommendation_cpu_max,0.008914699620084548
frontend_mem_avg_mb,0.008831569286241566
quote_p95_ms,0.008469720700797555
fraud_detection_mem_avg_mb,0.00824758621936495
kafka_cpu_max,0.008149773215398722
frontend_mem_max_mb,0.008071331479109899
quote_p50_ms,0.007519124618626118
quote_throughput_rps,0.007392790822649058
quote_p99_ms,0.007358969403733204
product_catalog_mem_max_mb,0.00729736513142254
recommendation_cpu_avg,0.007029785637481609
product_catalog_mem_avg_mb,0.006963085260593149
fraud_detection_cpu_avg,0.006345964593340899
kafka_cpu_avg,0.00598043560866326
fraud_detection_cpu_max,0.005278461381283869
payment_cpu_avg,0.004358172657768276
payment_cpu_max,0.004016318310581196
image_provider_p95_ms,0.0011637623509979926
payment_p95_ms,0.00039753776990101295
payment_p99_ms,0.00014113219382154625
checkout_mem_avg_mb,0.00013143483023001095
recommendation_error_rate,0.00012464957949539447
email_throughput_rps,0.00011001100110011
checkout_p50_ms,0.00010893246187363835
fraud_detection_p50_ms,8.278145695364238e-05
currency_cpu_max,0.0
currency_cpu_avg,0.0
currency_error_rate,0.0
checkout_mem_max_mb,0.0
checkout_error_rate,0.0
checkout_throughput_rps,0.0
checkout_cpu_avg,0.0
checkout_cpu_max,0.0
checkout_p95_ms,0.0
checkout_p99_ms,0.0
cart_error_rate,0.0
cart_cpu_max,0.0
ad_error_rate,0.0
frontend_proxy_mem_max_mb,0.0
frontend_proxy_cpu_max,0.0
image_provider_p50_ms,0.0
quote_mem_avg_mb,0.0
quote_cpu_max,0.0
quote_cpu_avg,0.0
quote_error_rate,0.0
product_catalog_cpu_max,0.0
product_catalog_error_rate,0.0
product_catalog_cpu_avg,0.0
payment_error_rate,0.0
payment_p50_ms,0.0
image_provider_mem_max_mb,0.0
image_provider_mem_avg_mb,0.0
image_provider_cpu_max,0.0
image_provider_error_rate,0.0
image_provider_cpu_avg,0.0
payment_throughput_rps,0.0
email_p50_ms,0.0
email_mem_avg_mb,0.0
email_cpu_max,0.0
email_mem_max_mb,0.0
currency_mem_max_mb,0.0
email_p95_ms,0.0
email_p99_ms,0.0
email_error_rate,0.0
email_cpu_avg,0.0
currency_mem_avg_mb,0.0
frontend_cpu_avg,0.0
frontend_cpu_max,0.0
frontend_proxy_cpu_avg,0.0
frontend_proxy_mem_avg_mb,0.0
shipping_cpu_avg,0.0
quote_mem_max_mb,0.0
shipping_error_rate,0.0
flagd_ui_error_rate,0.0
flagd_ui_p99_ms,0.0
flagd_ui_p95_ms,0.0
flagd_ui_p50_ms,0.0
flagd_mem_max_mb,0.0
flagd_mem_avg_mb,0.0
flagd_cpu_max,0.0
flagd_cpu_avg,0.0
flagd_error_rate,0.0
shipping_cpu_max,0.0
shipping_mem_avg_mb,0.0
shipping_mem_max_mb,0.0
flagd_ui_throughput_rps,0.0
flagd_ui_cpu_avg,0.0
flagd_ui_cpu_max,0.0
flagd_ui_mem_avg_mb,0.0
accounting_p95_ms,0.0
accounting_p50_ms,0.0
kafka_throughput_rps,0.0
kafka_error_rate,0.0
flagd_ui_mem_max_mb,0.0
kafka_p50_ms,0.0
kafka_p95_ms,0.0
kafka_p99_ms,0.0
accounting_cpu_max,0.0
accounting_p99_ms,0.0
accounting_error_rate,0.0
accounting_throughput_rps,0.0
fraud_detection_throughput_rps,0.0
fraud_detection_error_rate,0.0
fraud_detection_p99_ms,0.0
fraud_detection_p95_ms,0.0
