,importance
frontend_p50_ms,0.03163610952067806
frontend_proxy_p95_ms,0.031324857117071045
frontend_proxy_p50_ms,0.02783283592116146
recommendation_p50_ms,0.027778802984213223
product_catalog_p50_ms,0.025523370844239068
frontend_p95_ms,0.023691819562425113
cart_p95_ms,0.023134091689702374
ad_p95_ms,0.0218861325234088
frontend_throughput_rps,0.02151459013401691
payment_mem_max_mb,0.020944595329668782
flagd_p50_ms,0.020893527656822314
frontend_proxy_p99_ms,0.020347477326584526
ad_p99_ms,0.019488244656806146
cart_mem_max_mb,0.019047192799428167
fraud_detection_mem_max_mb,0.01879228475090632
recommendation_p99_ms,0.018314490279367778
currency_p95_ms,0.017718744622769657
ad_p50_ms,0.01738753662925053
cart_mem_avg_mb,0.01711465424493518
flagd_p95_ms,0.01683782660191808
frontend_proxy_throughput_rps,0.016630178935265583
image_provider_throughput_rps,0.016538891833050958
currency_p50_ms,0.016117857707780545
frontend_p99_ms,0.016098751885552477
currency_p99_ms,0.015904487205516363
frontend_proxy_error_rate,0.01575292708308318
recommendation_throughput_rps,0.015454634933711938
cart_p99_ms,0.015424308952837045
flagd_p99_ms,0.015125169011068262
payment_mem_avg_mb,0.015109055922123634
currency_throughput_rps,0.014891268064577187
recommendation_p95_ms,0.0145223689498842
cart_throughput_rps,0.01436708363466375
cart_p50_ms,0.014240837390104618
fraud_detection_mem_avg_mb,0.013902390435412363
product_catalog_p95_ms,0.0134543438372107
shipping_p50_ms,0.013330865224308723
frontend_error_rate,0.01203991772359481
quote_p95_ms,0.01165912984117607
product_catalog_throughput_rps,0.011380154394295352
accounting_mem_avg_mb,0.011308177585002679
shipping_p99_ms,0.011161358403410626
kafka_mem_avg_mb,0.010818285751972145
fraud_detection_cpu_avg,0.010575816204372151
ad_mem_avg_mb,0.010570451739245472
accounting_mem_max_mb,0.010541425755871405
quote_p50_ms,0.010378940619513706
product_catalog_p99_ms,0.01031264092558536
shipping_p95_ms,0.010308405624555652
image_provider_p99_ms,0.010073228296608984
quote_p99_ms,0.009919574082331599
quote_throughput_rps,0.009915004822396342
ad_cpu_max,0.009727935186166716
recommendation_mem_max_mb,0.009207173930506364
ad_throughput_rps,0.009154211651067688
shipping_throughput_rps,0.008631517719437432
recommendation_cpu_avg,0.008401789103814915
recommendation_mem_avg_mb,0.008236695641946755
recommendation_cpu_max,0.008141772954780233
ad_cpu_avg,0.007957191042014006
kafka_cpu_avg,0.007903013039470424
kafka_mem_max_mb,0.007422758925865544
payment_cpu_avg,0.007069467010215001
product_catalog_mem_max_mb,0.007016832847834728
payment_cpu_max,0.006857058415493689
product_catalog_mem_avg_mb,0.006683815946224209
flagd_throughput_rps,0.006603150851644278
kafka_cpu_max,0.006551103068724002
fraud_detection_cpu_max,0.006229555824469879
ad_mem_max_mb,0.005584440994763496
